City,At the beginning of the pandemic did you work or study?,Family,Friends,Pets,Roommates,People I didn't know,Alone,How many people did you live with in that period?,Bored.3c,Stressed.3c,Free.3c,Optimistic.3c,Peaceful.3c,Lonely.3c,Disappointed.3c,Frustrated.3c,Threatened.3c,Before covid,During covid,Bored.3e,Stressed.3e,Excited.3e,Hopeful.3e,Peaceful.3e,Lonely.3e,Vulnerable.3e,Disappointed.3e,Anxious.3e,Mask mandate.2020,Lockdown.2020,Closing Workplace/University.2020,Vaccination pass.2020,Social distancing.2020,Quarantine.2020,Mask mandate.2021,Lockdown.2021,Closing Workplace/University.2021,Vaccination pass.2021,Social distancing.2021,Quarantine.2021,Proud.4c,Optimistic.4c,Indifferent.4c,Vulnerable.4c,Disappointed.4c,Hostile.4c,Threatened.4c,Anxious.4c,Free.4c,No,"Yes, in 2020","Yes, in 2021","Yes, in 2022",Stressed.5b,Optimistic.5b,Peaceful.5b,Lonely.5b,Vulnerable.5b,Disappointed.5b,Frustrated.5b,Anxious.5b,Threatened.5b,What were the priorities in your life *before* COVID-19?.1,What were the priorities in your life *before* COVID-19?.2,What were the priorities in your life *before* COVID-19?.3,What were the priorities in your life *before* COVID-19?.4,What were the priorities in your life *before* COVID-19?.5,What were the priorities in your life *before* COVID-19?.6,What were the priorities in your life *during* COVID-19?.1,What were the priorities in your life *during* COVID-19?.2,What were the priorities in your life *during* COVID-19?.3,What were the priorities in your life *during* COVID-19?.4,What were the priorities in your life *during* COVID-19?.5,What were the priorities in your life *during* COVID-19?.6,What is your main source of income?,Bored.6b,Stressed.6b,Free.6b,Proud.6b,Optimistic.6b,Lonely.6b,Disappointed.6b,Frustrated.6b,Anxious.6b,Did your studying situation changed during COVID-19?,Change in personal interests,Change in learning modes,Family / Friends / Advisors Influence,Low grades,Better Career Prospects,Economic Difficulties,Started working,Other / I prefer not to answer,How would you describe your job?,"In your daily job, do you work directly with the public?",Free.7c,Aggressive.7c,Frustrated.7c,Disappointed.7c,Vulnerable.7c,Lonely.7c,Optimistic.7c,Enthusiastic.7c,Stressed.7c,Did your professional situation change during COVID-19?,Why did your professional situation change?,Meeting a small group of friends (2-6 people),"Going to public places (cinemas, theaters, restaurants, gym)",Taking public transportation,Going to a crowded event outdoors,Meeting a small group of friends (2-6 people).1,"Going to public places (cinemas, theaters, restaurants, gym).1",Taking public transportation.1,Going to a crowded event outdoors.1,Do you feel you have gone back to your “normality”?,What is your job sector?,What is your major?,What is your gender?,How old are you now?,Where did you grow up?,What is your ethnicity?,Which of these emotions do you associate with COVID-19?
New York,Work,,,,,,Alone,,,,,,,,,,,Monthly,Monthly,,,,,,,,Disappointed,,,2,2,2,,,,1,1,1,,,,,,,,,,Anxious,,,,"Yes, in 2021",,Stressed,,,,,,Frustrated,,,Physical health,Family,Mental health,Relationships,Career & Finances,Spirituality,Physical health,Family,Mental health,Relationships,Career & Finances,Spirituality,,,,,,,,,,,,,,,,,,,,Permanent employed,1,,,,,,Lonely,,Enthusiastic,,"No, it didn't change",,1,1,1,1,2,2,2,2,7,Media & Entertainment,,Female,40-50,I'm from New York State,White,Frustrated
New York,Work,,,Pets,,,,,,Stressed,,,,,,Frustrated,,Monthly,Monthly,,,,,Peaceful,,Vulnerable,,,1,1,1,,,,2,2,2,,,,,,,,,,Threatened,,,,,"Yes, in 2021",,,,,Lonely,Vulnerable,,,,,Family,Physical health,Mental health,Relationships,Career & Finances,Spirituality,Family,Physical health,Mental health,Relationships,Career & Finances,Spirituality,,,,,,,,,,,,,,,,,,,,Unemployed,1,,,Frustrated,,Vulnerable,,,,,"Yes, I had a reduction in working hours and/or wage",Financial reasons,2,2,2,2,2,2,2,2,7,Health Care,,Female,30-40,I'm from New York State,White,Frustrated
New York,Work,,,Pets,,,Alone,,,,,,,,,,,Monthly,Monthly,,,,,,Lonely,Vulnerable,,,,1,1,1,1,,1,1,,,1,1,,,,,Disappointed,,Threatened,,,,"Yes, in 2020","Yes, in 2021",,,,,,Vulnerable,,,,Threatened,Family,Physical health,Mental health,Relationships,Career & Finances,Spirituality,Physical health,Mental health,Relationships,Family,Career & Finances,Spirituality,,,,,,,,,,,,,,,,,,,,Permanent employed,1,,,,Disappointed,Vulnerable,,,,,"Yes, my company went out of business",Better Career Prospects,1,1,1,1,2,2,2,2,7,Financials,,Female,40-50,I'm from New York State,White,Frustrated
New York,Work,,,Pets,,,,,,,,,,,Disappointed,,,Monthly,Monthly,,,,,,Lonely,Vulnerable,,,,,1,1,,,1,1,,,,,,,,,Disappointed,,,,,,"Yes, in 2020",,,,,,,,,,,Threatened,Family,Physical health,Mental health,Relationships,Career & Finances,Spirituality,Family,Physical health,Mental health,Relationships,Career & Finances,Spirituality,,,,,,,,,,,,,,,,,,,,Permanent employed,1,,,Frustrated,,,,,,,"No, it didn't change",,2,2,2,2,3,3,3,3,6,Food & Consumer Goods,,Male,24-30,I'm from New York State,Black or African American,Frustrated
New York,Work,,,,,,Alone,,,,,,,,,,,Weekly,Weekly,,,Excited,,,,,Disappointed,,,1,1,1,,,,1,1,,,,,,Indifferent,,Disappointed,,,,,,"Yes, in 2020",,,,,,,,,,,Threatened,Physical health,Mental health,Relationships,Career & Finances,Spirituality,Family,Mental health,Physical health,Relationships,Career & Finances,Spirituality,Family,,,,,,,,,,,,,,,,,,,,Self - employed,1,,,,,Vulnerable,,,,,"Yes, my company went out of business",Financial reasons,1,1,1,1,2,2,1,1,6,Consumer Services & Retail,,Female,30-40,I'm from New York State,White,Stressed
New York,Study,Family,,,,,,2,Bored,Stressed,,,,,,,,Daily,Weekly,,,,,,Lonely,,Disappointed,,5,5,5,5,5,5,5,3,3,3,5,4,,,Indifferent,,Disappointed,Hostile,,,,,,,"Yes, in 2022",,,,,,,,Anxious,,Physical health,Mental health,Family,Relationships,Career & Finances,Spirituality,Physical health,Mental health,Career & Finances,Relationships,Spirituality,Family,Job,,,,,,,,,Anxious,No,,,,,,,,,,,,,,,,,,,,,,5,4,4,4,5,5,5,5,10,,Information and Computing Sciences,Female,20-24,I'm from somewhere else in the US,Asian,Stressed
New York,Study,,,,Roommates,,,2,,,,Optimistic,Peaceful,,,,,Daily,Daily,,,,,,Lonely,,,,5,5,5,3,3,4,4,4,4,4,3,3,,Optimistic,,,,,,,,No,,,,,,,,,,,,,Career & Finances,Physical health,Family,Mental health,Relationships,Spirituality,Physical health,Career & Finances,Relationships,Family,Mental health,Spirituality,Family,Bored,,Free,,Optimistic,,,,,No,,,,,,,,,,,,,,,,,,,,,,5,3,2,2,5,4,3,3,3,,Biological Sciences,Male,20-24,I'm from somewhere else in the US,Asian,Stressed
New York,Study,,,Pets,Roommates,,,,,,,Optimistic,,,,,,Daily,Daily,,,,,,Lonely,Vulnerable,,,5,5,5,5,5,5,4,4,4,4,4,4,,,,,Disappointed,,,Anxious,,No,,,,,,,,,,,,,Physical health,Mental health,Family,Relationships,Career & Finances,Spirituality,Mental health,Physical health,Family,Relationships,Career & Finances,Spirituality,Family,,,,,Optimistic,,,,,Yes because I changed my field of study,,,,,Better Career Prospects,,,,,,,,,,,,,,,,,3,3,1,1,3,3,1,2,5,,Engineering and Technology,Female,24-30,I come from abroad,Asian,Optimistic
New York,Study,,,Pets,Roommates,,,,Bored,Stressed,,,,,,Frustrated,,Weekly,Daily,,,,,,,,Disappointed,,5,4,4,5,5,5,5,4,4,5,4,4,,,,,,,,Anxious,,No,,,,,,,,,,,,,Career & Finances,Physical health,Mental health,Family,Relationships,Spirituality,Physical health,Mental health,Career & Finances,Relationships,Spirituality,Family,Job,,,,,,,,Frustrated,,No,,,,,,,,,,,,,,,,,,,,,,2,2,4,4,5,4,5,2,4,,Mathematical Sciences,Not-binary,24-30,I come from abroad,Asian,Distant
New York,Study,Family,Friends,Pets,Roommates,,Alone,,,,,,,,,,,Once a year,Weekly,,Stressed,,Hopeful,Peaceful,,,,,5,4,5,5,5,4,5,3,5,5,5,3,,,,Vulnerable,,,,,,No,,,,,,,,,,,,,Physical health,Career & Finances,Mental health,Family,Relationships,Spirituality,Physical health,Career & Finances,Mental health,Relationships,Family,Spirituality,Family,Bored,Stressed,,,,,,,Anxious,Other / I prefer not to answer,,,,,,,,,,,,,,,,,,,,,,5,4,4,2,5,4,4,3,3,,Engineering and Technology,Female,20-24,I come from abroad,Asian,Frustrated
New York,Work,Family,,,,,Alone,,,,,,,,,,,Daily,Daily,Bored,,,,,Lonely,,Disappointed,,5,3,2,5,5,5,5,3,2,5,5,5,,,,,Disappointed,,Threatened,Anxious,,No,,,,,,,,,,,,,Career & Finances,Relationships,Mental health,Family,Spirituality,Physical health,Career & Finances,Physical health,Mental health,Family,Relationships,Spirituality,,,,,,,,,,,,,,,,,,,,Fixed term employed,0,Free,,,,,,Optimistic,Enthusiastic,,"Yes, due to smartworking",Work environment,4,4,3,5,5,4,3,5,8,Other / I prefer not to answer,,Male,20-24,I come from abroad,Asian,Optimistic
New York,Study,Family,,,,,,3,,,,,Peaceful,,,,,Daily,Weekly,,,,,Peaceful,,,,,5,4,4,4,4,4,5,4,4,5,4,4,,,Indifferent,,Disappointed,,,,,No,,,,,,,,,,,,,Family,Mental health,Relationships,Physical health,Spirituality,Career & Finances,Family,Mental health,Relationships,Physical health,Spirituality,Career & Finances,Loan,Bored,,,Proud,,,,,,No,,,,,,,,,,,,,,,,,,,,,,4,4,4,2,4,4,3,2,8,,Biological Sciences,Male,20-24,I come from abroad,Asian,Optimistic
New York,Study,,,,Roommates,,,1,,Stressed,,,Peaceful,,,,,Daily,Daily,,,,,,Lonely,,Disappointed,,2,3,3,3,2,2,2,3,3,3,3,3,,,,,,Hostile,,,,No,,,,,,,,,,,,,Mental health,Family,Physical health,Relationships,Career & Finances,Spirituality,Physical health,Relationships,Mental health,Career & Finances,Spirituality,Family,Family,,,,,,,Disappointed,,,No,,,,,,,,,,,,,,,,,,,,,,2,2,2,2,3,3,3,3,1,,Agricultural and Veterinary Sciences,Female,20-24,I come from abroad,Asian,Stressed
New York,Study,,,,Roommates,,,2,,,,,,Lonely,,,,Weekly,Weekly,,,Excited,,,,,,,5,5,5,5,5,5,5,5,5,5,5,5,,,,Vulnerable,,,,,,No,,,,,,,,,,,,,Physical health,Family,Mental health,Relationships,Career & Finances,Spirituality,Physical health,Family,Mental health,Relationships,Career & Finances,Spirituality,Family,,Stressed,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,5,5,5,5,5,5,5,5,9,,Economics,Female,20-24,I come from abroad,Asian,Frustrated
New York,Work,Family,Friends,Pets,,People I didn't know,Alone,,,,,,,,,,,Weekly,Daily,,Stressed,,,,Lonely,,,Anxious,5,5,5,5,5,5,5,4,5,5,,5,,,,,Disappointed,Hostile,Threatened,,,No,,,,,,,,,,,,,Career & Finances,Relationships,Mental health,Family,Physical health,Spirituality,Career & Finances,Family,Mental health,Physical health,Relationships,Spirituality,,,,,,,,,,,,,,,,,,,,Fixed term employed,0,,,Frustrated,,Vulnerable,,,,Stressed,"Yes, my contract ended",Mental health reasons,4,2,3,2,5,4,3,2,7,Education,,Female,30-40,I'm from somewhere else in the US,White,Anxious
New York,Study,,Friends,Pets,,,,,Bored,Stressed,,,,,Disappointed,,,Weekly,Daily,,Stressed,,,,Lonely,,Disappointed,,3,4,4,3,3,3,3,3,3,3,3,3,,Optimistic,,,,,,,,No,,,,,,,,,,,,,Mental health,Physical health,Family,Relationships,Career & Finances,Spirituality,Mental health,Family,Physical health,Relationships,Career & Finances,Spirituality,Family,Bored,Stressed,,,Optimistic,,,,,No,,,,,,,,,,,,,,,,,,,,,,3,3,2,2,4,4,3,4,7,,Built Environment and Design,Female,20-24,I'm from New York State,Asian,Optimistic
New York,Study,,Friends,Pets,Roommates,,,,,,Free,,Peaceful,,,,,Weekly,Daily,Bored,,,,,Lonely,,,,5,2,3,5,5,4,5,1,1,5,5,2,,,Indifferent,,,,,,,No,,,,,,,,,,,,,Family,Relationships,Career & Finances,Physical health,Mental health,Spirituality,Family,Relationships,Physical health,Career & Finances,Mental health,Spirituality,Other / I prefer not to answer,Bored,Stressed,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,5,5,5,3,5,5,5,3,9,,Information and Computing Sciences,Male,20-24,I come from abroad,Asian,Stressed
New York,Work,,,,,,Alone,,,,,,,,,,,Weekly,Daily,,,,,Peaceful,,,,,5,2,4,4,4,4,5,2,3,4,4,4,,,Indifferent,,,,,,,,,"Yes, in 2021",,,,,,,Disappointed,,,,Mental health,Physical health,Family,Career & Finances,Relationships,Spirituality,Mental health,Physical health,Family,Career & Finances,Relationships,Spirituality,,,,,,,,,,,,,,,,,,,,Permanent employed,1,Free,,,,,Lonely,,,,"No, it didn't change",,4,4,4,3,4,4,4,4,8,Real Estate,,Male,30-40,I come from abroad,White,Lonely
New York,Work,,,,Roommates,,,1,,,,Optimistic,Peaceful,,,,,Weekly,Weekly,,,Excited,Hopeful,,,,,,5,5,5,5,5,5,5,5,5,5,5,5,,,,,,Hostile,,,,No,,,,,,,,,,,,,Career & Finances,Physical health,Mental health,Relationships,Family,Spirituality,Career & Finances,Relationships,Physical health,Mental health,Spirituality,Family,,,,,,,,,,,,,,,,,,,,Fixed term employed,0,,,,,Vulnerable,,,,,"Yes, I was fired",Work environment,4,4,5,2,5,5,5,4,9,Education,,Female,30-40,I come from abroad,White,Vulnerable
New York,Study,,,,,,Alone,,,,,,,,,,,Daily,Daily,,,Excited,Hopeful,,,,,,5,5,5,4,5,4,5,4,4,4,5,4,,,Indifferent,,Disappointed,,,,,No,,,,,,,,,,,,,Family,Relationships,Physical health,Career & Finances,Spirituality,Mental health,Physical health,Family,Career & Finances,Relationships,Mental health,Spirituality,Job,,,Free,,Optimistic,,,,,No,,,,,,,,,,,,,,,,,,,,,,5,4,3,1,5,5,4,2,7,,Information and Computing Sciences,Male,20-24,I come from abroad,Asian,Vulnerable
New York,Work,Family,,,,,,3,,,,,Peaceful,,,,,Daily,Daily,,Stressed,,,,,,,Anxious,5,4,4,4,5,4,5,4,4,4,5,4,,,Indifferent,,Disappointed,Hostile,,,,No,,,,,,,,,,,,,Family,Relationships,Mental health,Physical health,Spirituality,Career & Finances,Family,Mental health,Physical health,Relationships,Spirituality,Career & Finances,,,,,,,,,,,,,,,,,,,,Business owner,0,,,Frustrated,,,,Optimistic,,Stressed,"No, it didn't change",,5,4,4,3,5,4,4,3,6,Other / I prefer not to answer,,Female,50-60,I'm from somewhere else in the US,White,Anxious
New York,Study,,,Pets,Roommates,,,,,,Free,Optimistic,,,,,,Daily,Daily,,,,,Peaceful,,,,,5,5,5,5,5,5,5,5,5,5,5,5,,,,,Disappointed,,Threatened,,,No,,,,,,,,,,,,,Physical health,Mental health,Family,Relationships,Spirituality,Career & Finances,Family,Physical health,Mental health,Relationships,Career & Finances,Spirituality,Family,,,,,Optimistic,,,,,No,,,,,,,,,,,,,,,,,,,,,,3,2,1,2,3,3,1,3,5,,Engineering and Technology,Female,24-30,I come from abroad,Asian,Vulnerable
New York,Both,Family,,,,,,3,,,,Optimistic,,,,,,Weekly,Monthly,,Stressed,Excited,,,,,,,5,4,4,4,5,4,4,3,3,4,4,4,,,,,Disappointed,,,Anxious,,,,"Yes, in 2021",,,,,Lonely,Vulnerable,,Frustrated,,,Career & Finances,Mental health,Relationships,Family,Physical health,Spirituality,Career & Finances,Mental health,Family,Physical health,Relationships,Spirituality,Job,Bored,Stressed,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,5,4,3,3,5,5,4,4,2,,Built Environment and Design,Not-binary,20-24,I'm from New York State,White,Anxious
New York,Work,,,,,,Alone,,,,,,,,,,,Daily,Daily,,,,,,Lonely,,Disappointed,,5,,4,5,5,5,5,2,3,5,5,3,,,,,,,Threatened,,,No,,,,,,,,,,,,,Physical health,Family,Mental health,Career & Finances,Relationships,Spirituality,Physical health,Family,Mental health,Career & Finances,Relationships,Spirituality,,,,,,,,,,,,,,,,,,,,Permanent employed,1,,,,,,,,,Stressed,"No, it didn't change",,4,3,3,3,5,3,4,3,4,Financials,,Female,24-30,I'm from New York State,White,Vulnerable
New York,Study,Family,,,,,,3,,,,,Peaceful,,,,,Daily,Daily,,,,,Peaceful,,,,,5,5,5,5,5,5,5,5,5,5,5,5,,,,,,,,,Free,,"Yes, in 2020",,,,,,Lonely,,,Frustrated,Anxious,,Career & Finances,Family,Physical health,Mental health,Relationships,Spirituality,Family,Career & Finances,Physical health,Mental health,Relationships,Spirituality,Other / I prefer not to answer,,,,,,,,,Anxious,No,,,,,,,,,,,,,,,,,,,,,,5,5,5,5,5,5,5,5,8,,Engineering and Technology,Female,20-24,I come from abroad,Asian,Free
New York,Work,Family,,,,,,4,,,,,Peaceful,,,,,Weekly,Monthly,,Stressed,,,,,,,,2,1,1,1,1,3,2,1,1,1,1,1,,,,Vulnerable,,,,,,,,"Yes, in 2021",,,,Peaceful,,,,,,,Physical health,Career & Finances,Mental health,Relationships,Spirituality,Family,Relationships,Family,Career & Finances,Spirituality,Physical health,Mental health,,,,,,,,,,,,,,,,,,,,Permanent employed,0,,,,,,,,,,"No, it didn't change",,4,4,4,4,4,4,4,4,8,Information Technology,,Male,24-30,I come from abroad,Other / I prefer not to answer,Free
New York,Study,,Friends,Pets,,,,,,,Free,Optimistic,Peaceful,,,,,Weekly,Weekly,,Stressed,,,,Lonely,,Disappointed,,5,3,4,5,5,5,5,3,5,5,5,4,,,,,Disappointed,,,,,No,,,,,,,,,,,,,Physical health,Family,Mental health,Relationships,Spirituality,Career & Finances,Physical health,Mental health,Family,Relationships,Spirituality,Career & Finances,Family,Bored,Stressed,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,5,5,5,5,5,5,5,5,5,,Engineering and Technology,Male,20-24,I come from abroad,Asian,Peaceful
New York,Work,Family,,,,,,3,Bored,Stressed,,,,,,Frustrated,,Weekly,Weekly,,,Excited,,,Lonely,Vulnerable,,,2,2,2,2,1,4,2,2,1,2,1,4,,,Indifferent,,,,,,,,,"Yes, in 2021",,,,,Lonely,,Disappointed,Frustrated,,,Career & Finances,Physical health,Relationships,Family,Mental health,Spirituality,Career & Finances,Physical health,Relationships,Mental health,Family,Spirituality,,,,,,,,,,,,,,,,,,,,Permanent employed,0,,,,,,,,,,"No, it didn't change",,5,5,3,5,5,5,2,5,7,Education,,Female,24-30,I'm from New York State,White,Frustrated
New York,Work,Family,,,,,,2,,Stressed,,,Peaceful,,,,,Weekly,Weekly,,Stressed,,,,,,,,5,3,5,5,5,3,5,5,5,5,5,5,,,,,Disappointed,Hostile,Threatened,,,,"Yes, in 2020",,,,,,,Vulnerable,,,Anxious,,Career & Finances,Family,Physical health,Mental health,Relationships,Spirituality,Family,Career & Finances,Physical health,Mental health,Relationships,Spirituality,,,,,,,,,,,,,,,,,,,,Permanent employed,0,,,,,,,,,,Other / I prefer not to answer,,2,1,2,3,2,1,2,1,4,Education,,Female,50-60,I'm from somewhere else in the US,White,Stressed
New York,Work,,,,,,Alone,,,,,,,,,,,Daily,Daily,,Stressed,,,,Lonely,Vulnerable,,,5,5,5,5,5,5,5,3,3,5,5,5,,,Indifferent,,,,,,,No,,,,,,,,,,,,,Relationships,Physical health,Career & Finances,Family,Mental health,Spirituality,Mental health,Physical health,Relationships,Family,Career & Finances,Spirituality,,,,,,,,,,,,,,,,,,,,Fixed term employed,0,,,,,,,,,,"Yes, I quit my job",Better Career Prospects,5,3,1,1,5,4,1,2,6,Information Technology,,Female,24-30,I come from abroad,Asian,Frustrated
New York,Work,Family,,,,,,3,Bored,Stressed,,,,Lonely,,,,Monthly,Weekly,,,Excited,,,,,,,5,4,5,5,4,4,5,3,4,5,3,3,,,,,,Hostile,Threatened,Anxious,,,,,"Yes, in 2022",Stressed,,,,,,,Anxious,,Relationships,Family,Career & Finances,Physical health,Mental health,Spirituality,Relationships,Family,Physical health,Mental health,Career & Finances,Spirituality,,,,,,,,,,,,,,,,,,,,Fixed term employed,0,,,,,,,,,,"No, it didn't change",,5,5,3,2,5,5,1,3,7,Health Care,,Female,24-30,I'm from New York State,White,Anxious
New York,Study,Family,,,,,,3,Bored,,Free,,,Lonely,,,,Weekly,Daily,,,,,Peaceful,,,Disappointed,Anxious,5,5,5,5,5,5,5,4,5,5,5,5,,,Indifferent,,Disappointed,,,Anxious,,,,"Yes, in 2021",,,,,Lonely,Vulnerable,,Frustrated,,,Relationships,Physical health,Career & Finances,Family,Mental health,Spirituality,Physical health,Family,Relationships,Mental health,Career & Finances,Spirituality,Family,,Stressed,,,,Lonely,Disappointed,,,Yes because I changed my field of study,,,Family / Friends / Advisors Influence,,,,,,,,,,,,,,,,,,,5,5,4,5,5,5,4,4,8,,Information and Computing Sciences,Female,20-24,I come from abroad,Asian,Lonely
New York,Study,,,Pets,,,,,,,,,,,Disappointed,,,Monthly,Every 3 months,,Stressed,,,,,Vulnerable,,,2,2,2,2,2,2,1,1,1,1,1,1,,,,,,Hostile,Threatened,,,,"Yes, in 2020",,,,Optimistic,,,Vulnerable,,,,,Physical health,Family,Mental health,Relationships,Career & Finances,Spirituality,Physical health,Family,Mental health,Relationships,Career & Finances,Spirituality,Job,,,Free,,,,Disappointed,,,No,,,,,,,,,,,,,,,,,,,,,,2,1,1,1,1,2,1,1,6,,Information and Computing Sciences,Male,20-24,I'm from New York State,Black or African American,Disappointed
New York,Work,,Friends,,,,,6,,,,,,,Disappointed,Frustrated,,Monthly,Monthly,,,Excited,,,,,Disappointed,,1,1,1,1,1,1,2,2,2,2,2,2,,,,Vulnerable,,,,,,,,"Yes, in 2021",,,,,,Vulnerable,,,,,Physical health,Family,Mental health,Relationships,Career & Finances,Spirituality,Physical health,Family,Mental health,Relationships,Career & Finances,Spirituality,,,,,,,,,,,,,,,,,,,,Permanent employed,1,,,,,,,,,,"No, it didn't change",,1,1,1,1,2,1,2,2,5,Energy production & Distribution,,Female,24-30,I'm from New York State,Black or African American,Disappointed
New York,Work,,Friends,,,,,5,,,,,,Lonely,Disappointed,,,Monthly,Monthly,,,,,,,Vulnerable,,Anxious,1,1,1,1,1,1,1,2,2,2,2,1,Proud,,,,,,,,,,,"Yes, in 2021",,,,Peaceful,,,,Frustrated,,,Physical health,Family,Mental health,Relationships,Career & Finances,Spirituality,Physical health,Family,Career & Finances,Mental health,Relationships,Spirituality,,,,,,,,,,,,,,,,,,,,Unemployed,1,,,,,,,,,,"No, it didn't change",,1,1,1,1,2,2,2,2,7,Information Technology,,Female,24-30,I'm from New York State,White,Lonely
New York,Work,,,Pets,,,,,,,,,,,Disappointed,,Threatened,Weekly,Monthly,,,,,,,,Disappointed,Anxious,1,2,2,1,1,1,1,1,1,1,1,1,,,,Vulnerable,Disappointed,,,,,,,"Yes, in 2021",,Stressed,,,,Vulnerable,,,,,Physical health,Family,Mental health,Relationships,Career & Finances,Spirituality,Physical health,Family,Mental health,Relationships,Career & Finances,Spirituality,,,,,,,,,,,,,,,,,,,,Fixed term employed,1,,,,,,,,,,"No, it didn't change",,1,2,2,1,1,1,1,1,6,Manufacturing & Logistics,,Female,24-30,I'm from New York State,White,Frustrated
New York,Study,,Friends,,,,,2,,Stressed,,,,Lonely,,,,Weekly,Monthly,,,,,Peaceful,,,Disappointed,,1,2,2,2,1,1,1,1,2,2,2,1,,,,Vulnerable,,,Threatened,Anxious,,,"Yes, in 2020",,,,,,Lonely,,Disappointed,,,Threatened,Physical health,Family,Mental health,Relationships,Career & Finances,Spirituality,Physical health,Family,Mental health,Relationships,Career & Finances,Spirituality,Job,,,,,,,,Frustrated,Anxious,No,,,,,,,,,,,,,,,,,,,,,,1,2,2,1,1,1,1,1,7,,Biological Sciences,Female,24-30,I'm from New York State,White,Frustrated
New York,Work,,,,Roommates,,,1,,,,,,,Disappointed,Frustrated,,Monthly,Monthly,,Stressed,,,,Lonely,,Disappointed,,1,1,1,1,1,1,1,1,1,1,1,1,,,,Vulnerable,Disappointed,,,,,,"Yes, in 2020",,,,,Peaceful,,Vulnerable,,Frustrated,,,Physical health,Family,Mental health,Relationships,Career & Finances,Spirituality,Physical health,Family,Career & Finances,Mental health,Relationships,Spirituality,,,,,,,,,,,,,,,,,,,,Fixed term employed,1,,,,,,,,,,"Yes, due to smartworking",Better Career Prospects,1,1,1,1,1,2,2,2,6,Information Technology,,Female,20-24,I'm from New York State,Black or African American,Lonely
New York,Work,Family,,,,,,1,,,,,,Lonely,,,Threatened,Monthly,Monthly,Bored,,,,,,Vulnerable,Disappointed,,1,1,1,1,1,1,1,1,1,1,1,1,,,,Vulnerable,,,Threatened,,,,,"Yes, in 2021",,Stressed,,,,,,Frustrated,,,Physical health,Family,Mental health,Relationships,Career & Finances,Spirituality,Physical health,Mental health,Relationships,Career & Finances,Spirituality,Family,,,,,,,,,,,,,,,,,,,,Fixed term employed,1,,,,,,,,,,"No, it didn't change",,1,2,2,2,1,1,1,1,7,Food & Consumer Goods,,Female,24-30,I'm from New York State,White,Frustrated
New York,Work,,,Pets,,,,,,,,,,Lonely,,,Threatened,Weekly,Monthly,,,,,,,Vulnerable,,Anxious,1,1,1,1,1,1,1,2,2,2,2,2,,,,Vulnerable,,,Threatened,Anxious,,,,"Yes, in 2021",,,,,,Vulnerable,,Frustrated,,,Physical health,Family,Mental health,Relationships,Career & Finances,Spirituality,Physical health,Family,Mental health,Relationships,Career & Finances,Spirituality,,,,,,,,,,,,,,,,,,,,Unemployed,0,,,,,,,,,,"Yes, I was fired",Other / I prefer not to answer,1,1,1,1,2,2,2,2,7,Food & Consumer Goods,,Female,50-60,I'm from New York State,Black or African American,Frustrated
New York,Study,,Friends,,,,,6,,,,,Peaceful,,,,,Weekly,Monthly,,,,,,,Vulnerable,,Anxious,1,1,1,1,1,1,2,1,1,2,2,2,,,,Vulnerable,Disappointed,,,,,,,,"Yes, in 2022",Stressed,,,,,,,Anxious,,Physical health,Family,Mental health,Relationships,Career & Finances,Spirituality,Physical health,Family,Mental health,Relationships,Career & Finances,Spirituality,Scholarship,Bored,,,,,,Disappointed,,,No,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,6,,Built Environment and Design,Male,24-30,I'm from New York State,White,Stressed
New York,Work,Family,,,,,,3,,Stressed,,,,,,Frustrated,,Weekly,Monthly,,,,,Peaceful,,,Disappointed,,1,1,1,1,1,1,1,2,2,2,2,1,,,,Vulnerable,Disappointed,,,,,,"Yes, in 2020",,,,,Peaceful,Lonely,,,,,,Physical health,Family,Mental health,Relationships,Career & Finances,Spirituality,Physical health,Family,Mental health,Relationships,Career & Finances,Spirituality,,,,,,,,,,,,,,,,,,,,Permanent employed,1,,,,,,,,,,"Yes, I had a reduction in working hours and/or wage",Financial reasons,1,2,2,1,1,1,1,1,7,Financials,,Female,30-40,I'm from New York State,White,Frustrated
New York,Both,,Friends,,,,,2,,,,,,,Disappointed,,Threatened,Monthly,Every 3 months,,,,,,,,Disappointed,,1,1,1,1,1,1,1,2,2,2,2,1,,,Indifferent,,,,,,,,"Yes, in 2020",,,,,,Lonely,,,,,,Physical health,Family,Mental health,Relationships,Career & Finances,Spirituality,Physical health,Family,Mental health,Relationships,Career & Finances,Spirituality,Job,,Stressed,,,,Lonely,,,,No,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,3,3,1,7,,Medical and Health Sciences,Female,24-30,I'm from New York State,Hispanic / Latino,Frustrated
