City,At the beginning of the pandemic did you work or study?,Family,Friends,Pets,Roommates,People I didn't know,Alone,How many people did you live with in that period?,Bored.3c,Stressed.3c,Free.3c,Optimistic.3c,Peaceful.3c,Lonely.3c,Disappointed.3c,Frustrated.3c,Threatened.3c,Before covid,During covid,Bored.3e,Stressed.3e,Excited.3e,Hopeful.3e,Peaceful.3e,Lonely.3e,Vulnerable.3e,Disappointed.3e,Anxious.3e,Mask mandate.2020,Lockdown.2020,Closing Workplace/University.2020,Vaccination pass.2020,Social distancing.2020,Quarantine.2020,Mask mandate.2021,Lockdown.2021,Closing Workplace/University.2021,Vaccination pass.2021,Social distancing.2021,Quarantine.2021,Proud.4c,Optimistic.4c,Indifferent.4c,Vulnerable.4c,Disappointed.4c,Hostile.4c,Threatened.4c,Anxious.4c,Free.4c,No,"Yes, in 2020","Yes, in 2021","Yes, in 2022",Stressed.5b,Optimistic.5b,Peaceful.5b,Lonely.5b,Vulnerable.5b,Disappointed.5b,Frustrated.5b,Anxious.5b,Threatened.5b,What were the priorities in your life *before* COVID-19?.1,What were the priorities in your life *before* COVID-19?.2,What were the priorities in your life *before* COVID-19?.3,What were the priorities in your life *before* COVID-19?.4,What were the priorities in your life *before* COVID-19?.5,What were the priorities in your life *before* COVID-19?.6,What were the priorities in your life *during* COVID-19?.1,What were the priorities in your life *during* COVID-19?.2,What were the priorities in your life *during* COVID-19?.3,What were the priorities in your life *during* COVID-19?.4,What were the priorities in your life *during* COVID-19?.5,What were the priorities in your life *during* COVID-19?.6,What is your main source of income?,Bored.6b,Stressed.6b,Free.6b,Proud.6b,Optimistic.6b,Lonely.6b,Disappointed.6b,Frustrated.6b,Anxious.6b,Did your studying situation changed during COVID-19?,Change in personal interests,Change in learning modes,Family / Friends / Advisors Influence,Low grades,Better Career Prospects,Economic Difficulties,Started working,Other / I prefer not to answer,How would you describe your job?,"In your daily job, do you work directly with the public?",Free.7c,Aggressive.7c,Frustrated.7c,Disappointed.7c,Vulnerable.7c,Lonely.7c,Optimistic.7c,Enthusiastic.7c,Stressed.7c,Did your professional situation change during COVID-19?,Why did your professional situation change?,Meeting a small group of friends (2-6 people),"Going to public places (cinemas, theaters, restaurants, gym)",Taking public transportation,Going to a crowded event outdoors,Meeting a small group of friends (2-6 people).1,"Going to public places (cinemas, theaters, restaurants, gym).1",Taking public transportation.1,Going to a crowded event outdoors.1,Do you feel you have gone back to your “normality”?,What is your job sector?,What is your major?,What is your gender?,How old are you now?,Where did you grow up?,What is your ethnicity?,Which of these emotions do you associate with COVID-19?
New York,Work,,Friends,,,,,1,,,,,Peaceful,,,,,Weekly,Weekly,,,Excited,,Peaceful,,,,,5,5,4,5,5,5,5,5,4,5,5,4,,,Indifferent,,,,,,Free,No,,,,,,,,,,,,,Family,Relationships,Mental health,Spirituality,Physical health,Career & Finances,Relationships,Mental health,Physical health,Career & Finances,Spirituality,Family,,,,,,,,,,,,,,,,,,,,Fixed term employed,0,,,,,,,,,Stressed,"Yes, my contract ended",Work environment,5,3,3,4,5,3,3,4,7,Manufacturing & Logistics,,Male,24-30,I'm from New York State,White,Peaceful
New York,Work,Family,,,,,,2,,,Free,,,,,,,Weekly,Weekly,,,,,Peaceful,,,,,,,,,,,3,3,3,3,3,3,,,,,,,,,Free,No,,,,,,,,,,,,,Physical health,Family,Mental health,Relationships,Career & Finances,Spirituality,Physical health,Family,Mental health,Relationships,Career & Finances,Spirituality,,,,,,,,,,,,,,,,,,,,Fixed term employed,1,Free,,,,,,,,,"No, it didn't change",,3,3,3,3,3,3,3,3,8,Health Care,,Female,24-30,I'm from somewhere else in the US,White,Free
Milan,Work,Family,,,,,,3,,,Free,,Peaceful,,,,,Weekly,Daily,,Stressed,,,,,,,Anxious,5,4,4,4,4,3,5,4,3,3,3,2,,Optimistic,,,,,,Anxious,,No,,,,,,,,,,,,,Relationships,Physical health,Mental health,Career & Finances,Spirituality,Family,Physical health,Mental health,Relationships,Career & Finances,Spirituality,Family,,,,,,,,,,,,,,,,,,,,Permanent employed,0,Free,,,,,,,,,"Yes, I had a reduction in working hours and/or wage",Financial reasons,5,4,4,3,4,3,2,2,8,Information Technology,,Female,30-40,I come from abroad,White,Free
New York,Work,,,,,,Alone,,,,,,,,,,,Weekly,Weekly,,,,Hopeful,Peaceful,,,,Anxious,2,4,5,3,3,4,3,3,4,3,3,3,,,Indifferent,,Disappointed,,,,Free,No,,,,,,,,,,,,,Career & Finances,Relationships,Physical health,Mental health,Family,Spirituality,Career & Finances,Physical health,Mental health,Family,Relationships,Spirituality,,,,,,,,,,,,,,,,,,,,Permanent employed,1,Free,,,,,,Optimistic,Enthusiastic,,"Yes, I had a reduction in working hours and/or wage",I wanted to work remotely,4,3,3,2,4,4,4,3,5,Financials,,Female,24-30,I'm from New York State,Asian,Anxious
Milan,Work,Family,,,,,,2,,,Free,,Peaceful,,,,,Weekly,Daily,,Stressed,,,,Lonely,,,,1,1,2,1,1,1,1,1,2,1,1,1,,,,,,Hostile,Threatened,Anxious,,No,,,,,,,,,,,,,Mental health,Relationships,Physical health,Career & Finances,Spirituality,Family,Physical health,Mental health,Relationships,Career & Finances,Spirituality,Family,,,,,,,,,,,,,,,,,,,,Permanent employed,0,Free,,,,,,,,,"No, it didn't change",,5,3,4,2,5,4,3,2,8,Food & Consumer Goods,,Female,30-40,I come from abroad,Asian,Peaceful
Milan,Work,Family,,,,,,4,,,,,Peaceful,,,,,Daily,Weekly,,Stressed,,,,,Vulnerable,,Anxious,4,5,4,4,5,3,4,3,4,4,4,4,,,,Vulnerable,Disappointed,,,Anxious,,No,,,,,,,,,,,,,Mental health,Physical health,Career & Finances,Relationships,Spirituality,Family,Physical health,Mental health,Family,Relationships,Career & Finances,Spirituality,,,,,,,,,,,,,,,,,,,,Permanent employed,0,,,,,Vulnerable,,,,,"Yes, my company went out of business",Better Career Prospects,4,3,5,4,4,5,4,3,9,Consumer Services & Retail,,Male,24-30,I come from abroad,White,Stressed
Milan,Work,Family,,,,,,4,Bored,Stressed,,,,,Disappointed,,,Daily,Weekly,,Stressed,,,,,Vulnerable,Disappointed,,5,5,5,5,5,5,5,5,5,5,5,5,,,,,Disappointed,,Threatened,Anxious,,No,,,,,,,,,,,,,Physical health,Mental health,Family,Career & Finances,Relationships,Spirituality,Physical health,Mental health,Family,Relationships,Career & Finances,Spirituality,,,,,,,,,,,,,,,,,,,,Permanent employed,1,,Aggressive,Frustrated,Disappointed,,,,,,"No, it didn't change",,4,4,4,4,5,5,5,5,9,Information Technology,,Male,50-60,I come from abroad,White,Stressed
New York,Work,Family,,,,,,5,Bored,Stressed,,,,,,,,Weekly,Daily,,,,,Peaceful,,,,,4,3,2,4,4,5,3,1,1,2,2,4,,,,,Disappointed,,,,,No,,,,,,,,,,,,,Physical health,Mental health,Spirituality,Relationships,Career & Finances,Family,Mental health,Physical health,Family,Relationships,Career & Finances,Spirituality,,,,,,,,,,,,,,,,,,,,Business owner,1,,,,,,,Optimistic,Enthusiastic,,"No, it didn't change",,5,3,5,2,5,5,5,5,8,Financials,,Male,24-30,I'm from New York State,White,Anxious
Milan,Work,,,,,,Alone,,,,,,,,,,,Weekly,Every 3 months,,Stressed,,,,,Vulnerable,,Anxious,5,5,5,5,5,5,5,1,1,2,2,1,,,,Vulnerable,Disappointed,,,,,No,,,,,,,,,,,,,Career & Finances,Physical health,Mental health,Relationships,Spirituality,Family,Family,Physical health,Career & Finances,Relationships,Spirituality,Mental health,,,,,,,,,,,,,,,,,,,,Fixed term employed,0,Free,,,,,,,,,"No, it didn't change",,4,3,2,3,5,5,5,5,8,Information Technology,,Female,24-30,I come from abroad,Asian,Frustrated
New York,Work,,,,,,Alone,,,,,,,,,,,Daily,Weekly,,,,,,Lonely,,Disappointed,,5,3,3,5,3,4,5,3,3,5,3,4,,,,,Disappointed,,Threatened,,,,,"Yes, in 2021",,Stressed,,,,,,,,,Career & Finances,Physical health,Mental health,Family,Relationships,Spirituality,Career & Finances,Physical health,Family,Mental health,Relationships,Spirituality,,,,,,,,,,,,,,,,,,,,Self - employed,1,,,,,,,,,Stressed,"No, it didn't change",,3,3,3,2,4,4,4,3,7,Information Technology,,Male,24-30,I'm from somewhere else in the US,White,Stressed
